Chemical_Shift,Count
35.7,1585
35.8,1607
35.9,1592
36.0,1489
36.1,1825
36.2,1679
36.3,1402
36.4,1529
36.5,1656
36.6,1486
36.7,1543
36.8,1486
36.9,1590
37.0,1556
37.1,1313
37.2,1519
37.3,1344
37.4,1597
37.5,1497
37.6,1575
37.7,1562
37.8,1548
37.9,1381
38.0,1463
38.1,1428
38.2,1176
38.3,1207
38.4,1215
38.5,1456
38.6,1455
38.7,1551
38.8,1710
38.9,1307
39.0,1300
39.1,1439
39.2,1436
39.3,1306
39.4,1308
39.5,1686
39.6,1370
39.7,1357
39.8,1133
39.9,1292
40.0,1306
40.1,1355
40.2,1716
40.3,1509
40.4,1522
40.5,1354
40.6,1249
40.7,1353
40.8,1301
40.9,1229
41.0,1248
41.1,1293
41.2,1211
41.3,1388
41.4,1348
41.5,1384
41.6,1501
41.7,1534
41.8,1377
41.9,1535
42.0,1808
42.1,1514
42.2,1434
42.3,1404
42.4,1131
42.5,1267
42.6,1355
42.7,1310
42.8,1232
42.9,1451
43.0,1432
43.1,1223
43.2,1294
43.3,1362
43.4,1403
43.5,1414
43.6,1521
43.7,1514
43.8,1460
43.9,1378
44.0,1583
44.1,1744
44.2,1648
44.3,1472
44.4,1733
44.5,1456
44.6,1632
44.7,1439
44.8,1443
44.9,1320
45.0,1849
45.1,1452
45.2,1640
45.3,1654
45.4,1688
45.5,1760
45.6,1883
45.7,1709
45.8,1690
45.9,1878
46.0,1688
46.1,1727
46.2,1553
46.3,1274
46.4,1335
46.5,1231
46.6,1292
46.7,1292
46.8,1245
46.9,1189
47.0,1100
47.1,1140
47.2,1127
47.3,1121
47.4,1172
47.5,1301
47.6,1228
47.7,1213
47.8,1206
47.9,1112
48.0,1261
48.1,1106
48.2,1190
48.3,1102
48.4,993
48.5,1276
48.6,1232
48.7,1351
48.8,1244
48.9,1239
49.0,1086
49.1,1034
49.2,1281
49.3,1165
49.4,1117
49.5,963
49.6,1016
49.7,1011
49.8,1071
49.9,1009
50.0,1053
50.1,1058
50.2,1160
50.3,1252
50.4,1237
50.5,1215
50.6,1096
50.7,1016
50.8,1018
50.9,1031
51.0,1006
51.1,1087
51.2,1139
51.3,1158
51.4,1775
51.5,1135
51.6,1354
51.7,1904
51.8,2039
51.9,3031
52.0,2030
52.1,2986
52.2,3825
52.3,2504
52.4,2876
52.5,1740
52.6,1945
52.7,1653
52.8,1812
52.9,1921
53.0,1420
53.1,1664
53.2,1177
53.3,1056
53.4,975
53.5,1161
53.6,995
53.7,1071
53.8,1135
53.9,1474
54.0,1113
54.1,1115
54.2,1172
54.3,1357
54.4,1573
54.5,1441
54.6,1237
54.7,1081
54.8,912
54.9,1200
55.0,959
55.1,913
55.2,1645
55.3,5555
55.4,1762
55.5,1294
55.6,2097
55.7,3019
55.8,1967
55.9,2874
56.0,2699
56.1,2547
56.2,2380
56.3,1841
56.4,1562
56.5,1713
56.6,1900
56.7,1105
56.8,1121
56.9,799
57.0,788
57.1,629
57.2,657
57.3,666
57.4,605
57.5,638
57.6,832
57.7,649
57.8,598
57.9,712
58.0,804
58.1,754
58.2,822
58.3,612
58.4,1071
58.5,1027
58.6,887
58.7,1439
58.8,793
58.9,800
59.0,1040
59.1,741
59.2,687
59.3,878
59.4,686
59.5,714
59.6,730
59.7,795
59.8,776
59.9,649
60.0,728
60.1,736
60.2,1456
60.3,988
60.4,1115
60.5,1423
60.6,1673
60.7,2153
60.8,1697
60.9,1276
61.0,2580
61.1,1752
61.2,2078
61.3,1715
61.4,2474
61.5,2192
61.6,1288
61.7,1483
61.8,1548
61.9,1157
62.0,1378
62.1,1169
62.2,1259
62.3,983
62.4,1135
62.5,1053
62.6,1018
62.7,800
62.8,1129
62.9,689
63.0,609
63.1,771
63.2,592
63.3,599
63.4,585
63.5,839
63.6,776
63.7,822
63.8,911
63.9,841
64.0,827
64.1,905
64.2,889
64.3,1342
64.4,979
64.5,897
64.6,1035
64.7,1299
64.8,995
64.9,879
65.0,856
65.1,931
65.2,1021
65.3,841
65.4,908
65.5,792
65.6,947
65.7,796
65.8,784
65.9,726
66.0,844
66.1,803
66.2,874
66.3,761
66.4,1046
66.5,940
66.6,1057
66.7,1200
66.8,1181
66.9,1227
67.0,896
67.1,960
67.2,862
67.3,661
67.4,729
67.5,1028
67.6,723
67.7,684
67.8,747
67.9,1000
68.0,893
68.1,878
68.2,857
68.3,697
68.4,813
68.5,850
68.6,631
68.7,686
68.8,675
68.9,615
69.0,672
69.1,704
69.2,784
69.3,683
69.4,626
69.5,756
69.6,894
69.7,837
69.8,742
69.9,918
70.0,809
70.1,1029
70.2,941
70.3,907
70.4,927
70.5,879
70.6,1021
70.7,781
70.8,761
70.9,942
71.0,828
71.1,830
71.2,776
71.3,824
71.4,834
71.5,851
71.6,952
71.7,683
71.8,810
71.9,701
72.0,760
72.1,636
72.2,565
72.3,559
72.4,574
72.5,590
72.6,720
72.7,727
72.8,689
72.9,591
73.0,841
73.1,674
73.2,674
73.3,579
73.4,589
73.5,567
73.6,522
73.7,538
73.8,453
73.9,516
74.0,479
74.1,505
74.2,560
74.3,435
74.4,471
74.5,450
74.6,460
74.7,437
74.8,411
74.9,544
75.0,477
75.1,494
75.2,455
75.3,467
75.4,458
75.5,443
75.6,383
75.7,439
75.8,470
75.9,436
76.0,373
76.1,350
76.2,315
76.3,417
76.4,339
76.5,350
76.6,384
76.7,341
76.8,306
76.9,385
77.0,353
77.1,326
77.2,337
77.3,329
77.4,300
77.5,335
77.6,405
77.7,291
77.8,321
77.9,326
78.0,341
78.1,336
78.2,276
78.3,371
78.4,456
78.5,330
78.6,299
78.7,318
78.8,412
78.9,845
79.0,354
79.1,314
79.2,375
79.3,1234
79.4,551
79.5,876
79.6,358
79.7,1100
79.8,877
79.9,608
80.0,314
80.1,355
80.2,561
80.3,523
80.4,946
80.5,408
80.6,535
80.7,426
80.8,405
80.9,618
81.0,402
81.1,631
81.2,597
81.3,361
81.4,334
81.5,516
81.6,389
81.7,287
81.8,433
81.9,395
82.0,304
82.1,503
82.2,388
82.3,219
82.4,421
82.5,373
82.6,298
82.7,338
82.8,268
82.9,337
83.0,293
83.1,286
83.2,274
83.3,218
83.4,249
83.5,215
83.6,301
83.7,363
83.8,236
83.9,221
84.0,196
84.1,171
84.2,205
84.3,203
84.4,226
84.5,238
84.6,168
84.7,178
84.8,191
84.9,165
85.0,194
85.1,179
85.2,173
85.3,141
85.4,142
85.5,159
85.6,139
85.7,137
85.8,156
85.9,166
86.0,132
86.1,167
86.2,150
86.3,167
86.4,164
86.5,162
86.6,191
86.7,158
86.8,179
86.9,146
87.0,151
87.1,162
87.2,177
87.3,122
87.4,134
87.5,112
87.6,137
87.7,140
87.8,130
87.9,130
88.0,152
88.1,191
88.2,185
88.3,162
88.4,138
88.5,142
88.6,161
88.7,146
88.8,154
88.9,133
89.0,198
89.1,167
89.2,155
89.3,167
89.4,145
89.5,158
89.6,145
89.7,146
89.8,196
89.9,194
90.0,201
90.1,188
90.2,154
90.3,148
90.4,153
90.5,157
90.6,157
90.7,167
90.8,163
90.9,152
91.0,207
91.1,181
91.2,143
91.3,148
91.4,159
91.5,137
91.6,135
91.7,176
91.8,157
91.9,171
92.0,164
92.1,175
92.2,193
92.3,185
92.4,193
92.5,187
92.6,159
92.7,185
92.8,179
92.9,203
93.0,178
93.1,201
93.2,207
93.3,204
93.4,193
93.5,193
93.6,208
93.7,203
93.8,204
93.9,194
94.0,199
94.1,236
94.2,181
94.3,228
94.4,245
94.5,230
94.6,224
94.7,229
94.8,209
94.9,194
95.0,219
95.1,184
95.2,226
95.3,282
95.4,216
95.5,290
95.6,297
95.7,254
95.8,255
95.9,271
96.0,246
96.1,213
96.2,262
96.3,192
96.4,205
96.5,212
96.6,213
96.7,246
96.8,277
96.9,253
97.0,225
97.1,256
97.2,275
97.3,259
97.4,259
97.5,254
97.6,322
97.7,281
97.8,276
97.9,260
98.0,253
98.1,246
98.2,271
98.3,318
98.4,360
98.5,315
98.6,312
98.7,339
98.8,359
98.9,321
99.0,398
99.1,310
99.2,274
99.3,378
99.4,323
99.5,344
99.6,343
99.7,357
99.8,348
99.9,381
100.0,368
100.1,484
100.2,396
100.3,427
100.4,362
100.5,416
100.6,362
100.7,365
100.8,414
100.9,467
101.0,526
101.1,522
101.2,592
101.3,519
101.4,480
101.5,551
101.6,584
101.7,534
101.8,563
101.9,534
102.0,562
102.1,565
102.2,580
102.3,554
102.4,592
102.5,555
102.6,645
102.7,645
102.8,711
102.9,526
103.0,662
103.1,663
103.2,624
103.3,685
103.4,580
103.5,649
103.6,633
103.7,618
103.8,648
103.9,698
104.0,699
104.1,723
104.2,778
104.3,722
104.4,779
104.5,847
104.6,733
104.7,867
104.8,867
104.9,883
105.0,864
105.1,874
105.2,954
105.3,950
105.4,853
105.5,841
105.6,763
105.7,771
105.8,828
105.9,823
106.0,767
106.1,749
106.2,812
106.3,828
106.4,857
106.5,813
106.6,790
106.7,801
106.8,913
106.9,793
107.0,799
107.1,939
107.2,937
107.3,997
107.4,1103
107.5,1027
107.6,964
107.7,997
107.8,990
107.9,1009
108.0,1019
108.1,1103
108.2,1161
108.3,1131
108.4,1098
108.5,1135
108.6,1213
108.7,1193
108.8,1220
108.9,1195
109.0,1160
109.1,1306
109.2,1317
109.3,1285
109.4,1396
109.5,1507
109.6,1453
109.7,1498
109.8,1397
109.9,1512
110.0,1480
110.1,1433
110.2,1583
110.3,1562
110.4,1636
110.5,1603
110.6,1640
110.7,1715
110.8,1677
110.9,1733
111.0,1763
111.1,1884
111.2,1813
111.3,1854
111.4,1968
111.5,1887
111.6,1903
111.7,1839
111.8,2115
111.9,2098
112.0,2342
112.1,2425
112.2,2463
112.3,2422
112.4,2408
112.5,2499
112.6,2615
112.7,2581
112.8,2575
112.9,2568
113.0,2782
113.1,2512
113.2,2734
113.3,2650
113.4,2692
113.5,2589
113.6,2850
113.7,2859
113.8,3148
113.9,3083
114.0,2878
114.1,3157
114.2,2953
114.3,2960
114.4,3368
114.5,3054
114.6,3172
114.7,3276
114.8,3330
114.9,3488
115.0,3541
115.1,3777
115.2,3705
115.3,4073
115.4,3974
115.5,4046
115.6,4178
115.7,4308
115.8,4836
115.9,4532
116.0,4583
116.1,4372
116.2,4388
116.3,4458
116.4,4143
116.5,3934
116.6,3895
116.7,4184
116.8,4049
116.9,3734
117.0,3626
117.1,3500
117.2,3709
117.3,3392
117.4,3378
117.5,3415
117.6,3369
117.7,3396
117.8,3883
117.9,4055
118.0,3363
118.1,3643
118.2,3348
118.3,2949
118.4,3162
118.5,3069
118.6,3296
118.7,3294
118.8,2985
118.9,3276
119.0,3338
119.1,3142
119.2,3108
119.3,3229
119.4,3230
119.5,3342
119.6,3354
119.7,3497
119.8,3951
119.9,3769
120.0,3430
120.1,3444
120.2,3453
120.3,3540
120.4,4140
120.5,3989
120.6,4223
120.7,4019
120.8,4009
120.9,3699
121.0,3931
121.1,4048
121.2,3776
121.3,3830
121.4,4001
121.5,4357
121.6,4151
121.7,4439
121.8,4163
121.9,4423
122.0,4940
122.1,4562
122.2,4489
122.3,4388
122.4,4434
122.5,4507
122.6,5010
122.7,4651
122.8,5248
122.9,4976
123.0,4572
123.1,4657
123.2,4575
123.3,4545
123.4,4706
123.5,4597
123.6,4644
123.7,4524
123.8,4770
123.9,4804
124.0,4818
124.1,5128
124.2,4760
124.3,4849
124.4,4585
124.5,4908
124.6,4886
124.7,4898
124.8,5297
124.9,4905
125.0,5868
125.1,5312
125.2,5150
125.3,5111
125.4,5402
125.5,5303
125.6,5080
125.7,5495
125.8,5483
125.9,5566
126.0,5593
126.1,6064
126.2,5939
126.3,6238
126.4,6648
126.5,7522
126.6,6682
126.7,6586
126.8,6614
126.9,6840
127.0,6942
127.1,7171
127.2,9161
127.3,8244
127.4,7579
127.5,7769
127.6,7878
127.7,10194
127.8,9195
127.9,9404
128.0,7914
128.1,8623
128.2,14239
128.3,8923
128.4,9770
128.5,12408
128.6,11592
128.7,10587
128.8,11225
128.9,10481
129.0,10242
129.1,10549
129.2,9716
129.3,9398
129.4,9026
129.5,9397
129.6,8806
129.7,8900
129.8,8721
129.9,8408
130.0,8209
130.1,8056
130.2,7876
130.3,7702
130.4,7637
130.5,7173
130.6,6675
130.7,6868
130.8,6568
130.9,6549
131.0,6194
131.1,5729
131.2,5839
131.3,5482
131.4,5351
131.5,5400
131.6,5302
131.7,5381
131.8,5279
131.9,5501
132.0,5048
132.1,5217
132.2,5078
132.3,4771
132.4,4594
132.5,4633
132.6,4693
132.7,4599
132.8,4487
132.9,4244
133.0,4407
133.1,4503
133.2,4381
133.3,4374
133.4,4598
133.5,4475
133.6,4285
133.7,4466
133.8,4185
133.9,4017
134.0,4445
134.1,4137
134.2,4076
134.3,4181
134.4,3823
134.5,3858
134.6,3706
134.7,3759
134.8,3842
134.9,3921
135.0,3603
135.1,3557
135.2,3633
135.3,3396
135.4,3561
135.5,3403
135.6,3565
135.7,3627
135.8,3495
135.9,3660
136.0,3606
136.1,3586
136.2,3555
136.3,3789
136.4,3776
136.5,3732
136.6,4063
136.7,3975
136.8,3914
136.9,3917
137.0,3832
137.1,3589
137.2,3564
137.3,3607
137.4,3634
137.5,3812
137.6,3685
137.7,3741
137.8,3844
137.9,3829
138.0,3648
138.1,3468
138.2,3594
138.3,3723
138.4,3804
138.5,3535
138.6,3675
138.7,3347
138.8,3465
138.9,3369
139.0,3239
139.1,3330
139.2,3220
139.3,3206
139.4,3294
139.5,3054
139.6,3064
139.7,2778
139.8,2620
139.9,2740
140.0,2731
140.1,2674
140.2,2615
140.3,2653
140.4,2695
140.5,2378
140.6,2467
140.7,2498
140.8,2386
140.9,2596
141.0,2383
141.1,2409
141.2,2425
141.3,2220
141.4,2267
141.5,2216
141.6,2214
141.7,2183
141.8,2124
141.9,2324
142.0,2471
142.1,2306
142.2,2289
142.3,2399
142.4,2205
142.5,2213
142.6,2047
142.7,2204
142.8,2174
142.9,2083
143.0,2284
143.1,2069
143.2,2127
143.3,1922
143.4,1977
143.5,1882
143.6,1964
143.7,1993
143.8,1893
143.9,1921
144.0,2024
144.1,2039
144.2,1913
144.3,1934
144.4,2037
144.5,1960
144.6,1992
144.7,1972
144.8,1851
144.9,1915
145.0,1768
145.1,1951
145.2,1816
145.3,1830
145.4,1761
145.5,1937
145.6,1926
145.7,1811
145.8,1997
145.9,1925
146.0,1771
146.1,1877
146.2,1831
146.3,1924
146.4,1805
146.5,1979
146.6,2124
146.7,1917
146.8,2004
146.9,2053
147.0,2002
147.1,2030
147.2,2043
147.3,2173
147.4,2222
147.5,2181
147.6,2214
147.7,2175
147.8,2338
147.9,2347
148.0,2364
148.1,2066
148.2,2347
148.3,2427
148.4,2376
148.5,2533
148.6,2426
148.7,2413
148.8,2466
148.9,2670
149.0,2569
149.1,2753
149.2,2545
149.3,2637
149.4,2752
149.5,2576
149.6,2557
149.7,2650
149.8,2774
149.9,2676
150.0,2467
150.1,2479
150.2,2572
150.3,2530
150.4,2451
150.5,2324
150.6,2271
150.7,2263
150.8,2529
150.9,2290
151.0,2212
151.1,2089
151.2,2230
151.3,2247
151.4,2070
151.5,2185
151.6,1965
151.7,2036
151.8,1936
151.9,2122
152.0,2005
152.1,1990
152.2,2022
152.3,1852
152.4,1871
152.5,1888
152.6,1869
152.7,1915
152.8,1992
152.9,1964
153.0,1907
153.1,2001
153.2,1948
153.3,1877
153.4,1790
153.5,1870
153.6,2012
153.7,1963
153.8,1848
153.9,1835
154.0,1871
154.1,1957
154.2,1945
154.3,1782
154.4,1933
154.5,1932
154.6,1962
154.7,1965
154.8,2449
154.9,2261
155.0,2113
155.1,2181
155.2,1966
155.3,1990
155.4,2124
155.5,2192
155.6,1917
155.7,2044
155.8,2102
155.9,2138
156.0,2133
156.1,2162
156.2,2250
156.3,2194
156.4,2381
156.5,2123
156.6,2090
156.7,2357
156.8,2157
156.9,2195
157.0,2030
157.1,1931
157.2,1963
157.3,2064
157.4,2053
157.5,2100
157.6,2184
157.7,1930
157.8,2022
157.9,2132
158.0,2151
158.1,2102
158.2,1895
158.3,2080
158.4,2045
158.5,2026
158.6,1915
158.7,1896
158.8,2037
158.9,1925
159.0,2047
159.1,2074
159.2,2013
159.3,2027
159.4,2308
159.5,2180
159.6,2018
159.7,1958
159.8,1882
159.9,2010
160.0,2033
160.1,2002
160.2,2014
160.3,1897
160.4,2074
160.5,2091
160.6,2077
160.7,2095
160.8,2021
160.9,1957
161.0,2086
161.1,2150
161.2,2373
161.3,2056
161.4,2081
161.5,1878
161.6,2258
161.7,2090
161.8,1923
161.9,1902
162.0,1935
162.1,1995
162.2,1876
162.3,1798
162.4,1947
162.5,1955
162.6,1877
162.7,1941
162.8,1885
162.9,1681
163.0,1861
163.1,1933
163.2,1955
163.3,1800
163.4,1776
163.5,1654
163.6,1954
163.7,1794
163.8,1632
163.9,1784
164.0,1795
164.1,1560
164.2,1634
164.3,1476
164.4,1365
164.5,1486
164.6,1581
164.7,1623
164.8,1487
164.9,1403
165.0,1419
165.1,1523
165.2,1564
165.3,1476
165.4,1487
165.5,1439
165.6,1348
165.7,1509
165.8,1599
165.9,1521
166.0,1439
166.1,1472
166.2,1670
166.3,1662
166.4,1442
166.5,1765
166.6,1680
166.7,1638
166.8,1686
166.9,1456
167.0,1441
167.1,1435
167.2,1410
167.3,1546
167.4,1356
167.5,1357
167.6,1434
167.7,1444
167.8,1259
167.9,1227
168.0,1424
168.1,1240
168.2,1508
168.3,1427
168.4,1404
168.5,1336
168.6,1530
168.7,1332
168.8,1408
168.9,1442
169.0,1447
169.1,1272
169.2,1243
169.3,1303
169.4,1335
169.5,1309
169.6,1276
169.7,1374
169.8,1266
169.9,1261
170.0,1176
170.1,1068
170.2,1084
170.3,1088
170.4,1023
170.5,1066
170.6,1096
170.7,959
170.8,1054
170.9,1197
171.0,1012
171.1,1025
171.2,1076
171.3,941
171.4,864
171.5,815
171.6,994
171.7,886
171.8,948
171.9,886
172.0,694
172.1,807
172.2,791
172.3,790
172.4,726
172.5,733
172.6,1108
172.7,812
172.8,749
172.9,638
173.0,606
173.1,693
173.2,670
173.3,699
173.4,806
173.5,731
173.6,672
173.7,657
173.8,688
173.9,609
174.0,886
174.1,574
174.2,628
174.3,591
174.4,513
174.5,565
174.6,499
174.7,570
174.8,571
174.9,557
175.0,460
175.1,511
175.2,482
175.3,634
175.4,473
175.5,542
175.6,553
175.7,527
175.8,541
175.9,460
176.0,463
176.1,457
176.2,448
176.3,465
176.4,372
176.5,448
176.6,427
176.7,309
176.8,347
176.9,323
177.0,315
177.1,381
177.2,486
177.3,381
177.4,327
177.5,359
177.6,289
177.7,284
177.8,352
177.9,314
178.0,297
178.1,292
178.2,224
178.3,257
178.4,220
178.5,248
178.6,575
178.7,192
178.8,301
178.9,213
179.0,200
179.1,239
179.2,167
179.3,190
179.4,231
179.5,147
179.6,146
179.7,146
179.8,132
179.9,131
180.0,180
180.1,138
180.2,155
180.3,207
180.4,136
180.5,197
180.6,166
180.7,128
180.8,190
180.9,132
181.0,138
181.1,133
181.2,118
181.3,117
181.4,126
181.5,142
181.6,129
181.7,132
181.8,128
181.9,125
182.0,179
182.1,147
182.2,131
182.3,142
182.4,90
182.5,112
182.6,115
182.7,84
182.8,87
182.9,73
183.0,70
183.1,96
183.2,83
183.3,85
183.4,84
183.5,106
183.6,92
183.7,99
183.8,144
183.9,105
184.0,113
184.1,116
184.2,84
184.3,72
184.4,107
184.5,70
184.6,143
184.7,109
184.8,97
184.9,123
185.0,68
185.1,64
185.2,84
185.3,81
185.4,80
185.5,89
185.6,88
185.7,99
185.8,97
185.9,98
186.0,111
186.1,96
186.2,97
186.3,136
186.4,101
186.5,119
186.6,101
186.7,97
186.8,98
186.9,99
187.0,117
187.1,65
187.2,87
187.3,79
187.4,84
187.5,94
187.6,78
187.7,79
187.8,96
187.9,91
188.0,89
188.1,122
188.2,88
188.3,126
188.4,130
188.5,136
188.6,107
188.7,139
188.8,116
188.9,106
189.0,149
189.1,145
189.2,143
189.3,185
189.4,123
189.5,134
189.6,127
189.7,163
189.8,200
189.9,180
190.0,155
190.1,241
190.2,150
190.3,221
190.4,180
190.5,162
190.6,236
190.7,295
190.8,329
190.9,467
191.0,250
191.1,235
191.2,231
191.3,312
191.4,290
191.5,296
191.6,291
191.7,250
191.8,217
191.9,319
192.0,430
192.1,187
192.2,319
192.3,206
192.4,209
192.5,167
192.6,199
192.7,156
192.8,171
192.9,153
193.0,227
193.1,217
193.2,180
193.3,222
193.4,212
193.5,196
193.6,175
193.7,176
193.8,157
193.9,169
194.0,195
194.1,153
194.2,165
194.3,164
194.4,179
194.5,174
194.6,173
194.7,204
194.8,157
194.9,170
195.0,167
195.1,203
195.2,201
195.3,158
195.4,192
195.5,191
195.6,168
195.7,141
195.8,184
195.9,174
196.0,170
196.1,203
196.2,162
196.3,166
196.4,214
196.5,219
196.6,210
196.7,175
196.8,237
196.9,281
197.0,225
197.1,187
197.2,176
197.3,230
197.4,150
197.5,241
197.6,256
197.7,188
197.8,201
197.9,188
198.0,153
198.1,254
198.2,192
198.3,185
198.4,188
198.5,201
198.6,193
198.7,203
198.8,160
198.9,183
199.0,213
199.1,241
199.2,190
199.3,189
199.4,249
199.5,174
199.6,176
199.7,176
199.8,162
199.9,159
200.0,181
200.1,166
200.2,235
200.3,203
200.4,181
200.5,208
200.6,187
200.7,208
200.8,144
200.9,139
201.0,199
201.1,194
201.2,173
201.3,149
201.4,125
201.5,137
201.6,123
201.7,133
201.8,120
201.9,170
202.0,191
202.1,162
202.2,140
202.3,161
202.4,167
202.5,154
202.6,234
202.7,177
202.8,152
202.9,200
203.0,182
203.1,181
203.2,135
203.3,109
203.4,151
203.5,123
203.6,133
203.7,128
203.8,148
203.9,144
204.0,130
204.1,109
204.2,173
204.3,99
204.4,137
204.5,113
204.6,119
204.7,101
204.8,106
204.9,147
205.0,85
205.1,103
205.2,98
205.3,86
205.4,124
205.5,113
205.6,106
205.7,91
205.8,118
205.9,109
206.0,91
206.1,117
206.2,106
206.3,116
206.4,103
206.5,92
206.6,90
206.7,117
206.8,143
206.9,104
207.0,113
207.1,106
207.2,86
207.3,106
207.4,98
207.5,85
207.6,87
207.7,85
207.8,90
207.9,92
208.0,89
208.1,154
208.2,117
208.3,106
208.4,119
208.5,70
208.6,66
208.7,79
208.8,67
208.9,121
209.0,105
209.1,133
209.2,74
209.3,52
209.4,62
209.5,62
209.6,54
209.7,50
209.8,45
209.9,104
210.0,86
210.1,69
210.2,46
210.3,75
210.4,53
210.5,88
210.6,125
210.7,62
210.8,78
210.9,62
211.0,89
211.1,60
211.2,32
211.3,71
211.4,81
211.5,40
211.6,41
211.7,21
