J_Value,Count
21.8,53
21.9,38
22.0,77
22.1,76
22.2,107
22.3,56
22.4,31
22.5,40
22.6,36
22.7,46
22.8,22
22.9,61
23.0,16
23.1,200
23.2,47
23.3,56
23.4,114
23.5,15
23.6,30
23.7,13
23.8,25
23.9,7
24.0,23
24.1,16
24.2,33
24.3,6
24.4,28
24.5,48
24.6,17
24.7,33
24.8,6
24.9,25
25.0,27
25.1,27
25.2,18
25.3,54
25.4,130
25.5,37
25.6,34
25.7,5
25.8,32
25.9,2
26.0,25
26.1,5
26.2,37
26.3,5
26.4,32
26.5,16
26.6,22
26.7,16
26.8,17
26.9,18
27.0,8
27.1,21
27.2,6
27.3,14
27.4,9
27.5,10
27.6,12
27.7,14
27.8,29
27.9,9
28.0,20
28.1,1
28.2,16
28.3,8
28.4,12
28.5,1
28.6,23
28.7,5
28.8,12
28.9,13
29.0,6
29.1,31
29.2,7
29.3,11
29.4,4
29.5,5
29.6,2
29.7,9
29.8,2
29.9,43
30.0,7
30.1,2
30.2,5
30.3,17
30.4,4
30.5,3
30.6,10
30.7,1
30.8,19
30.9,8
31.0,2
31.1,7
31.2,3
31.3,18
31.4,2
31.5,7
31.6,5
31.7,8
31.8,1
31.9,3
32.0,3
32.1,2
32.2,9
32.3,1
32.4,2
32.5,7
32.6,3
32.7,2
32.8,18
32.9,2
33.0,9
33.1,5
33.2,14
33.3,25
33.4,5
33.5,19
33.6,7
33.7,12
33.9,6
34.0,3
34.1,3
34.2,4
34.3,2
34.5,1
34.6,5
34.8,3
35.0,3
35.1,1
35.2,3
35.3,1
35.4,1
35.5,14
35.7,15
35.8,3
35.9,3
36.0,1
36.1,5
36.2,4
36.3,21
36.4,1
36.5,5
36.6,4
36.7,1
36.8,2
37.0,3
37.2,8
37.3,1
37.4,5
37.5,7
37.6,1
37.7,5
37.9,4
38.1,3
38.2,1
38.3,4
38.4,1
38.5,2
38.6,4
38.7,2
38.8,3
38.9,2
39.0,1
39.2,5
39.3,3
39.4,7
39.5,2
39.6,4
39.7,3
39.9,4
40.0,1
40.1,2
40.3,3
40.5,1
40.7,7
40.8,6
40.9,1
41.0,9
41.2,2
41.4,3
41.5,3
41.6,3
41.8,2
42.1,1
42.3,2
42.5,1
42.6,1
42.7,2
43.2,1
43.8,2
44.0,1
44.1,2
44.5,5
44.6,2
44.7,26
44.9,3
45.1,3
45.4,1
45.5,1
45.6,2
45.8,4
46.0,3
46.1,1
46.3,6
46.4,1
46.5,17
46.7,5
46.9,1
47.2,1
47.6,1
48.0,5
48.2,7
48.4,5
49.5,1
49.6,1
49.8,1
50.2,1
53.5,1
53.6,1
56.4,1
57.1,1
57.3,1
57.5,2
58.4,2
58.8,1
61.2,1
62.8,1
63.1,1
63.4,1
64.8,1
